Pin Name,Name,Direction
USB3-1-TX_N,USB3-1-TX_N,input
CSI-1_D3_P,CSI-1_D3_P,output
HDMI-0_TX2_P,HDMI-0_TX2_P,input
PCIe_CLKREQ,PCIe_CLKREQ,output
CSI-1_CLK_N,CSI-1_CLK_N,input
USB3-0-TX_N,USB3-0-TX_N,input
PCIe_CLK_N,PCIe_CLK_N,input
USB3-0-TX_P,USB3-0-TX_P,input
HDMI-0_CEC,HDMI-0_CEC,bidirectional
HDMI-0_CLK_P,HDMI-0_CLK_P,input
CSI-1_D1_P,CSI-1_D1_P,output
USB3-0-DM,USB3-0-DM,bidirectional
GBE_MDI3_N,GBE_MDI3_N,bidirectional
MOD_SLEEP,MOD_SLEEP,input
PCIe_RX_P,PCIe_RX_P,output
GBE_MDI0_P,GBE_MDI0_P,bidirectional
PCIe_TX_P,PCIe_TX_P,input
CSI-0_CLK_N,CSI-0_CLK_N,input
USB3-0-DP,USB3-0-DP,bidirectional
CSI-1_D2_P,CSI-1_D2_P,output
USB3-1-DM,USB3-1-DM,bidirectional
CSI-1_D0_N,CSI-1_D0_N,output
CSI-0_D2_P,CSI-0_D2_P,output
USB3-1-DP,USB3-1-DP,bidirectional
CSI-0_D0_N,CSI-0_D0_N,output
PCIe_nRST,PCIe_nRST,input
CSI-1_D1_N,CSI-1_D1_N,output
USB_P,USB_P,bidirectional
HDMI-0_TX1_N,HDMI-0_TX1_N,input
POWER_BMC,POWER_BMC,output
USB3-1-RX_P,USB3-1-RX_P,output
CSI-0_D3_P,CSI-0_D3_P,output
CSI-0_SDA,CSI-0_SDA,bidirectional
I2C-0_SCL,I2C-0_SCL,bidirectional
HDMI-0_SDA,HDMI-0_SDA,bidirectional
PCIe_TX_N,PCIe_TX_N,input
CSI-1_CLK_P,CSI-1_CLK_P,input
SHUT_REQ_BMC,SHUT_REQ_BMC,input
HDMI-0_TX0_P,HDMI-0_TX0_P,input
GBE_LED_LINK,GBE_LED_LINK,bidirectional
USB3-1-TX_P,USB3-1-TX_P,input
GBE_LED_ACT,GBE_LED_ACT,bidirectional
PCIe_CLK_P,PCIe_CLK_P,input
HDMI-0_TX2_N,HDMI-0_TX2_N,input
USB3-0-RX_P,USB3-0-RX_P,output
GBE_MDI3_P,GBE_MDI3_P,bidirectional
USB3-1-RX_N,USB3-1-RX_N,output
CSI-0_CLK_P,CSI-0_CLK_P,input
HDMI-0_TX1_P,HDMI-0_TX1_P,input
CSI-0_PWDN,CSI-0_PWDN,output
HDMI-0_SCL,HDMI-0_SCL,bidirectional
CSI-0_D2_N,CSI-0_D2_N,output
USB_N,USB_N,bidirectional
RESET_BMC,RESET_BMC,bidirectional
PCIe_RX_N,PCIe_RX_N,output
GBE_MDI2_N,GBE_MDI2_N,bidirectional
SLEEP/WAKE,SLEEP/WAKE,bidirectional
HDMI-0_TX0_N,HDMI-0_TX0_N,input
USB3-0-RX_N,USB3-0-RX_N,output
CSI-0_D1_P,CSI-0_D1_P,output
CSI-1_PWDN,CSI-1_PWDN,output
CSI-0_D1_N,CSI-0_D1_N,output
GBE_MDI1_N,GBE_MDI1_N,bidirectional
GBE_MDI1_P,GBE_MDI1_P,bidirectional
CSI-0_SCL,CSI-0_SCL,bidirectional
CSI-0_D3_N,CSI-0_D3_N,output
CSI-1_D3_N,CSI-1_D3_N,output
GBE_MDI2_P,GBE_MDI2_P,bidirectional
CSI-1_D0_P,CSI-1_D0_P,output
I2C-0_SDA,I2C-0_SDA,bidirectional
CSI-0_D0_P,CSI-0_D0_P,output
GBE_MDI0_N,GBE_MDI0_N,bidirectional
CSI-1_D2_N,CSI-1_D2_N,output
HDMI-0_HPD,HDMI-0_HPD,input
HDMI-0_CLK_N,HDMI-0_CLK_N,input
